"births","species"
0,4
1,149712
2,37673
3,18559
4,11790
5,8355
6,6100
7,4784
8,3810
9,3246
10,2809
11,2486
12,2146
13,1806
14,1790
15,1542
16,1299
17,1211
18,1151
19,1107
20,967
21,918
22,842
23,753
24,755
25,658
26,640
27,590
28,583
29,576
30,500
31,490
32,471
33,416
34,408
35,434
36,390
37,368
38,361
39,393
40,351
41,349
42,315
43,288
44,300
45,297
46,264
47,257
48,285
49,247
50,259
51,216
52,260
53,238
54,229
55,203
56,192
57,166
58,202
59,215
60,197
61,189
62,191
63,173
64,152
65,160
66,153
67,162
68,148
69,139
70,132
71,154
72,142
73,150
74,141
75,145
76,138
77,140
78,140
79,124
80,120
81,121
82,103
83,142
84,118
85,122
86,114
87,105
88,107
89,97
90,113
91,114
92,97
93,100
94,79
95,103
96,94
97,71
98,89
99,86
100,76
101,81
102,84
103,72
104,92
105,76
106,71
107,88
108,77
109,66
110,69
111,76
112,76
113,51
114,63
115,58
116,66
117,70
118,79
119,70
120,63
121,61
122,59
123,67
124,74
125,65
126,48
127,64
128,60
129,67
130,46
131,57
132,71
133,43
134,69
135,52
136,55
137,52
138,61
139,51
140,51
141,58
142,53
143,47
144,49
145,62
146,55
147,39
148,62
149,43
150,55
151,43
152,48
153,43
154,41
155,47
156,42
157,64
158,43
159,52
160,55
161,47
162,41
163,48
164,36
165,55
166,36
167,42
168,39
169,40
170,41
171,36
172,43
173,36
174,32
175,41
176,36
177,44
178,41
179,41
180,31
181,34
182,34
183,31
184,35
185,33
186,27
187,36
188,26
189,39
190,28
191,35
192,32
193,34
194,31
195,37
196,33
197,36
198,36
199,25
200,23
201,29
202,33
203,29
204,37
205,16
206,28
207,30
208,26
209,26
210,29
211,32
212,34
213,17
214,26
215,25
216,15
217,24
218,24
219,29
220,27
221,23
222,27
223,32
224,24
225,33
226,24
227,31
228,18
229,17
230,21
231,23
232,21
233,17
234,23
235,24
236,21
237,17
238,22
239,17
240,22
241,23
242,15
243,22
244,25
245,15
246,17
247,19
248,26
249,27
250,21
251,19
252,22
253,17
254,26
255,18
256,14
257,18
258,18
259,20
260,24
261,15
262,31
263,19
264,17
265,16
266,16
267,15
268,22
269,20
270,19
271,19
272,23
273,24
274,22
275,22
276,18
277,20
278,17
279,15
280,19
281,17
282,20
283,21
284,19
285,21
286,18
287,17
288,10
289,14
290,13
291,12
292,17
293,14
294,12
295,13
296,13
297,18
298,18
299,7
300,10
301,18
302,11
303,20
304,12
305,21
306,19
307,16
308,11
309,22
310,11
311,15
312,16
313,21
314,17
315,12
316,22
317,25
318,12
319,11
320,22
321,18
322,12
323,21
324,16
325,11
326,14
327,13
328,12
329,9
330,10
331,15
332,11
333,21
334,22
335,15
336,16
337,17
338,16
339,12
340,11
341,17
342,11
343,16
344,12
345,13
346,10
347,14
348,11
349,16
350,14
351,12
352,10
353,13
354,15
355,16
356,7
357,10
358,18
359,7
360,10
361,15
362,11
363,13
364,12
365,20
366,12
367,9
368,13
369,9
370,15
371,10
372,13
373,14
374,7
375,10
376,15
377,6
378,16
379,10
380,9
381,8
382,10
383,14
384,13
385,12
386,15
387,13
388,11
389,13
390,11
391,13
392,9
393,9
394,10
395,10
396,13
397,8
398,15
399,12
400,8
401,15
402,9
403,10
404,8
405,19
406,10
407,10
408,13
409,14
410,11
411,16
412,7
413,8
414,7
415,11
416,9
417,9
418,10
419,10
420,7
421,11
422,4
423,14
424,13
425,7
426,6
427,5
428,12
429,8
430,6
431,10
432,11
433,8
434,7
435,7
436,13
437,16
438,6
439,7
440,8
441,8
442,5
443,11
444,8
445,7
446,11
447,9
448,5
449,11
450,11
451,8
452,6
453,7
454,10
455,12
456,10
457,11
458,9
459,10
460,9
461,5
462,14
463,5
464,9
465,12
466,6
467,8
468,5
469,6
470,8
471,7
472,8
473,11
474,12
475,14
476,8
477,10
478,8
479,10
480,4
481,8
482,8
483,6
484,8
485,12
486,12
487,9
488,6
489,6
490,10
491,7
492,12
493,5
494,3
495,8
496,9
497,6
498,6
499,11
500,9
501,6
502,10
503,6
504,7
505,7
506,6
507,11
508,9
509,7
510,9
511,7
512,12
513,4
514,4
515,4
516,8
517,6
518,9
519,8
520,7
521,12
522,7
523,9
524,9
525,9
526,9
527,9
528,6
529,7
530,10
531,4
532,6
533,6
534,6
535,8
536,5
537,5
538,13
539,5
540,9
541,4
542,7
543,8
544,12
545,5
546,7
547,9
548,12
549,5
550,7
551,3
552,7
553,8
554,5
555,5
556,6
557,6
558,8
559,9
560,10
561,13
562,11
563,9
564,1
565,8
566,5
567,12
568,6
569,10
570,3
571,13
572,7
573,13
574,2
575,10
576,3
577,3
578,8
579,2
580,5
581,5
582,9
583,9
584,7
585,7
586,7
587,6
588,6
589,7
590,3
591,6
592,6
593,8
594,7
595,4
596,5
597,3
598,6
599,7
600,8
601,4
602,7
603,7
604,2
605,7
606,3
607,4
608,4
609,5
610,6
611,5
612,5
613,4
614,8
615,6
616,8
617,5
618,7
619,7
620,7
621,8
622,2
623,7
624,6
625,4
626,6
627,7
628,4
629,5
630,5
631,7
632,7
633,6
634,3
635,7
636,3
637,6
638,7
639,2
640,6
641,5
642,7
643,5
644,4
645,2
646,3
647,8
648,5
649,3
650,6
651,5
652,1
653,7
654,5
655,4
656,6
657,10
658,7
659,5
660,7
661,5
662,9
663,4
664,5
665,4
666,7
667,4
668,1
669,2
670,2
671,4
672,4
673,7
674,2
675,6
676,6
677,3
678,3
679,6
680,6
681,1
682,3
683,6
684,2
685,4
686,1
687,5
688,3
689,5
690,7
691,3
692,6
693,6
694,13
695,4
696,3
697,5
698,2
699,2
700,4
701,8
702,6
703,4
704,2
705,7
706,8
707,3
708,7
709,3
710,8
711,4
712,3
713,6
714,4
715,5
716,1
717,3
718,4
719,1
720,5
721,3
722,3
723,1
724,3
725,4
726,1
728,1
729,9
730,5
731,2
732,7
733,5
734,4
735,4
736,5
737,4
738,4
739,4
740,5
741,3
742,2
743,3
744,5
745,5
746,6
747,3
748,2
749,1
750,3
751,6
752,4
753,2
754,1
755,6
756,2
757,3
758,9
759,5
760,4
761,2
762,5
763,4
764,2
765,7
766,4
767,6
768,7
769,4
770,2
771,3
773,1
774,2
775,5
776,4
777,3
778,4
779,2
780,1
781,5
782,1
783,4
784,1
785,5
787,4
788,4
789,3
790,2
791,7
792,3
793,5
794,4
795,4
796,3
797,7
798,5
799,2
800,3
801,6
802,4
803,5
804,1
805,5
806,3
807,3
808,1
809,3
810,1
811,2
812,4
814,4
815,3
816,5
817,3
818,5
819,1
820,5
821,4
822,2
823,6
824,3
825,4
826,4
827,3
828,6
829,3
830,5
831,1
832,2
833,4
834,2
835,3
836,6
837,2
838,4
839,6
841,3
842,3
843,1
844,6
845,2
846,2
847,4
848,4
849,2
850,1
851,3
852,4
853,3
854,1
855,4
856,3
857,1
858,2
859,4
860,4
861,4
862,4
863,1
864,4
865,3
866,4
867,2
868,6
869,7
870,1
871,1
872,3
873,4
874,3
875,4
876,5
877,2
878,2
879,3
880,2
881,3
882,2
883,2
884,7
885,3
886,6
887,1
888,1
889,4
890,3
891,4
892,4
893,4
895,2
896,1
897,5
898,2
899,4
900,3
901,6
902,2
903,3
904,3
905,2
906,1
907,2
908,3
909,4
910,7
911,4
912,3
913,3
914,2
915,3
916,2
917,4
918,1
919,1
920,2
921,1
922,2
923,2
924,3
925,2
926,8
927,2
928,7
929,3
930,4
931,3
932,3
933,3
934,2
935,4
936,5
937,3
938,3
939,3
940,4
941,2
942,5
943,4
944,2
947,1
948,2
949,2
950,3
951,2
952,5
953,4
955,1
956,2
957,4
958,2
959,1
960,3
961,2
962,3
963,1
964,4
965,3
966,2
967,4
968,3
969,3
970,1
971,3
972,4
974,2
975,1
976,1
977,1
978,3
979,1
980,1
981,1
982,1
983,1
984,4
985,1
986,1
987,4
988,3
989,2
990,1
991,1
992,3
994,6
995,6
997,2
998,2
999,4
1000,1
1001,3
1002,1
1003,3
1004,3
1005,3
1006,3
1007,2
1008,5
1009,3
1010,3
1011,3
1012,3
1014,3
1015,2
1016,2
1017,3
1018,7
1019,1
1020,3
1021,4
1022,3
1023,8
1024,3
1025,3
1026,2
1027,3
1028,4
1029,2
1030,1
1031,3
1032,1
1033,3
1034,6
1035,2
1036,1
1038,1
1039,3
1040,1
1041,1
1042,2
1043,2
1044,2
1045,2
1047,4
1048,2
1049,4
1050,3
1051,2
1052,2
1053,4
1054,5
1055,2
1056,4
1057,3
1058,3
1059,2
1060,4
1061,5
1062,4
1064,1
1066,4
1067,3
1068,4
1069,4
1070,2
1071,1
1072,4
1073,2
1074,4
1075,4
1076,5
1077,2
1078,2
1079,4
1080,1
1082,2
1083,2
1085,2
1086,5
1087,5
1088,1
1090,1
1091,4
1092,2
1094,1
1095,4
1096,1
1098,1
1099,2
1100,4
1101,4
1102,2
1103,2
1104,2
1105,1
1106,4
1107,6
1108,2
1109,1
1111,2
1113,3
1114,2
1115,3
1116,6
1117,2
1118,1
1119,2
1120,5
1121,3
1122,2
1123,1
1124,2
1126,2
1128,1
1129,3
1130,1
1132,2
1134,3
1135,7
1136,1
1137,5
1138,1
1139,1
1140,2
1141,2
1142,3
1143,1
1144,4
1145,3
1146,3
1147,4
1148,2
1149,3
1150,2
1151,1
1152,1
1153,1
1154,4
1155,4
1156,3
1157,3
1158,3
1159,3
1160,1
1161,1
1162,1
1163,1
1164,1
1165,4
1166,4
1167,2
1169,2
1170,1
1171,3
1172,2
1173,3
1174,1
1175,2
1176,3
1177,2
1178,2
